"i400sN1_1#030"
""
"Potential (V)";"Current (uA)"
"0";"1.6"
"0.05";"1.683333"
"0.1";"1.7375"
"0.15";"1.741667"
"0.2";"1.725"
"0.25";"1.679167"
"0.3";"1.625"
"0.35";"1.570833"
"0.4";"1.525"
"0.45";"1.491667"
"0.5";"1.4625"
"0.55";"1.4375"
"0.6";"1.408333"
"0.65";"1.383333"
"0.7";"1.3625"
"0.75";"1.354167"
"0.8";"1.358333"
"0.85";"1.383333"
"0.9";"1.4375"
"0.95";"1.504167"
"1";"1.579167"
"1.05";"1.6375"
"1.1";"1.683333"
"1.15";"1.7125"
"1.2";"1.741667"
"1.25";"1.779167"
"1.3";"1.829167"
"1.35";"1.908333"
"1.4";"2.029167"
"1.45";"2.195833"
"1.5";"2.379167"
"1.55";"2.616667"
"1.6";"3.075"
"1.65";"4.179167"
"1.7";"7.3375"
"1.75";"14.883334"
"1.8";"23.941666"
"1.85";"29.970833"
"1.9";"30.158333"
"1.95";"27.229166"
"2";"24.516668"
"2.05";"22.491669"
"2.1";"21.016668"
"2.15";"19.925001"
"2.2";"19.1"
"2.25";"18.466667"
"2.3";"17.979166"
"2.35";"17.612501"
"2.4";"17.35"
"2.45";"17.204168"
"2.5";"17.15"
"2.45";"15.533334"
"2.4";"14.350001"
"2.35";"13.645833"
"2.3";"13.104167"
"2.25";"12.662501"
"2.2";"12.275001"
"2.15";"11.920834"
"2.1";"11.583333"
"2.05";"11.245834"
"2";"10.837501"
"1.95";"10.166667"
"1.9";"8.825"
"1.85";"6.516666"
"1.8";"3.9"
"1.75";"1.866667"
"1.7";"0.920833"
"1.65";"0.608333"
"1.6";"0.466667"
"1.55";"0.366667"
"1.5";"0.283333"
"1.45";"0.195833"
"1.4";"0.1"
"1.35";"0.008333"
"1.3";"-0.054167"
"1.25";"-0.104167"
"1.2";"-0.141667"
"1.15";"-0.179167"
"1.1";"-0.208333"
"1.05";"-0.2375"
"1";"-0.270833"
"0.95";"-0.3"
"0.9";"-0.3375"
"0.85";"-0.366667"
"0.8";"-0.404167"
"0.75";"-0.441667"
"0.7";"-0.483333"
"0.65";"-0.525"
"0.6";"-0.566667"
"0.55";"-0.620833"
"0.5";"-0.6875"
"0.45";"-0.779167"
"0.4";"-0.8875"
"0.35";"-0.991667"
"0.3";"-1.070833"
"0.25";"-1.108333"
"0.2";"-1.141667"
"0.15";"-1.179167"
"0.1";"-1.245833"
"0.05";"-1.320833"
"0";"-1.404167"
"-0.05";"-1.483333"
"-0.1";"-1.566667"
"-0.15";"-1.65"
"-0.2";"-1.75"
"-0.25";"-1.866667"
"-0.3";"-1.995833"
"-0.35";"-2.1375"
"-0.4";"-2.3"
"-0.45";"-2.4875"
"-0.5";"-2.675"
"-0.55";"-2.833333"
"-0.6";"-2.970834"
"-0.65";"-3.095834"
"-0.7";"-3.245833"
"-0.75";"-3.425"
"-0.8";"-3.6125"
"-0.85";"-3.666667"
"-0.9";"-3.579167"
"-0.95";"-3.383333"
"-1";"-3.195833"
"-1.05";"-3.020833"
"-1.1";"-2.866667"
"-1.15";"-2.741667"
"-1.2";"-2.6625"
"-1.25";"-2.6125"
"-1.3";"-2.604167"
"-1.35";"-2.608333"
"-1.4";"-2.633333"
"-1.45";"-2.675"
"-1.5";"-2.75"
"-1.55";"-2.841666"
"-1.6";"-2.945833"
"-1.65";"-3.025"
"-1.7";"-3.066667"
"-1.75";"-3.0375"
"-1.8";"-2.983333"
"-1.85";"-2.933333"
"-1.9";"-2.983333"
"-1.95";"-3.370833"
"-2";"-5.1875"
"-2.05";"-11.975001"
"-2.1";"-24.387503"
"-2.15";"-35.495834"
"-2.2";"-39.808334"
"-2.25";"-36.820835"
"-2.3";"-32.783333"
"-2.35";"-29.841667"
"-2.4";"-27.804167"
"-2.45";"-26.479166"
"-2.5";"-25.6"
"-2.45";"-23.945833"
"-2.4";"-22.612501"
"-2.35";"-21.641668"
"-2.3";"-20.758333"
"-2.25";"-19.525002"
"-2.2";"-15.954167"
"-2.15";"-6.320833"
"-2.1";"6.3"
"-2.05";"15.245833"
"-2";"16.370834"
"-1.95";"12.875"
"-1.9";"9.804167"
"-1.85";"7.729167"
"-1.8";"6.291667"
"-1.75";"5.241667"
"-1.7";"4.4375"
"-1.65";"3.804167"
"-1.6";"3.291667"
"-1.55";"2.875"
"-1.5";"2.533334"
"-1.45";"2.254167"
"-1.4";"2.0125"
"-1.35";"1.808333"
"-1.3";"1.629167"
"-1.25";"1.483333"
"-1.2";"1.354167"
"-1.15";"1.25"
"-1.1";"1.158333"
"-1.05";"1.083333"
"-1";"1.016667"
"-0.95";"0.958333"
"-0.9";"0.916667"
"-0.85";"0.8875"
"-0.8";"0.883333"
"-0.75";"0.95"
"-0.7";"1.204167"
"-0.65";"1.583333"
"-0.6";"1.8875"
"-0.55";"1.975"
"-0.5";"1.916667"
"-0.45";"1.854167"
"-0.4";"1.825"
"-0.35";"1.825"
"-0.3";"1.845833"
"-0.25";"1.866667"
"-0.2";"1.870833"
"-0.15";"1.866667"
"-0.1";"1.8625"
"-0.05";"1.870833"
"0";"1.8875"
